in~ ORIGIN,he~ did~ SHAPE(Verb),Elohiym,AT,the~ SKY ~s2,and~ AT,the~ LAND
and~ he~ will~ SAY(Verb),Elohiym,they(m)~ will~ SWARM(Verb),the~ WATER ~s2,SWARMER,SOUL,LIVING,and~ FLYER,he~ will~ much~ FLY(Verb),UPON,the~ LAND,UPON,FACE ~s,SHEET,the~ SKY ~s2
and~ he~ will~ SHAPE(Verb),Elohiym,AT,the~ CROCODILE ~s,7 the~ GREAT ~s,and~ AT,ALL,SOUL,the~ LIVING,the~ TREAD(Verb) ~ing(fs),WHICH,they(m)~ did~ SWARM(Verb),the~ WATER ~s2,to~ KIND ~them(m),and~ AT,ALL,FLYER,WING,to~ KIND ~him,and~ he~ will~ SEE(Verb),Elohiym,GIVEN.THAT,FUNCTIONAL
and~ he~ will~ much~ KNEEL(Verb),AT ~them(m),Elohiym,to~ >~ SAY(Verb),!(mp)~ REPRODUCE(Verb),and~ !(mp)~ INCREASE(Verb),and~ !(mp)~ FILL(Verb),AT,the~ WATER ~s2,in~ the~ SEA ~s,and~ the~ FLYER,he~ did~ INCREASE(Verb),in~ the~ LAND
and~ he~ will~ EXIST(Verb),EVENING,and~ he~ will~ EXIST(Verb),MORNING,DAY,FIFTH
and~ he~ will~ SAY(Verb),Elohiym,she~ will~ make~ GO.OUT(Verb),the~ LAND,SOUL,LIVING,to~ KIND ~her,BEAST,and~ TREADER,and~ LIVING ~him,8 LAND,to~ KIND ~her,and~ he~ will~ EXIST(Verb),SO
and~ he~ will~ DO(Verb),Elohiym,AT,LIVING,the~ LAND,to~ KIND ~her,and~ AT,the~ BEAST,to~ KIND ~her,and~ AT,ALL,TREADER,the~ GROUND,to~ KIND ~him,and~ he~ will~ SEE(Verb),Elohiym,GIVEN.THAT,FUNCTIONAL
and~ he~ will~ SAY(Verb),Elohiym,we~ will~ DO(Verb),HUMAN,in~ IMAGE ~us,like~ LIKENESS ~us,and~ he~ did~ RULE(Verb),in~ FISH,the~ SEA,and~ in~ FLYER,the~ SKY ~s2,and~ in~ the~ BEAST,and~ in~ ALL,the~ LAND,and~ in~ ALL,the~ TREADER,the~ TREAD(Verb) ~ing(ms),UPON,the~ LAND
and~ he~ will~ SHAPE(Verb),Elohiym,AT,the~ HUMAN,in~ IMAGE ~him,in~ IMAGE,Elohiym,he~ did~ SHAPE(Verb),AT ~him,MALE,and~ FEMALE,he~ did~ SHAPE(Verb),AT ~them(m)
and~ he~ will~ much~ KNEEL(Verb),AT ~them(m),Elohiym,and~ he~ will~ SAY(Verb),to~ ~them(m),Elohiym,!(mp)~ REPRODUCE(Verb),and~ !(mp)~ INCREASE(Verb),and~ !(mp)~ FILL(Verb),AT,the~ LAND,and~ !(mp)~ SUBDUE(Verb) ~her,and~ !(mp)~ RULE(Verb),in~ FISH,the~ SEA,and~ in~ FLYER,the~ SKY ~s2,and~ in~ ALL,LIVING,the~ TREAD(Verb) ~ing(fs),UPON,the~ LAND
and~ he~ will~ SAY(Verb),Elohiym,LOOK,I~ did~ GIVE(Verb),to~ ~you(mp),AT,ALL,HERB,SOW(Verb) ~ing(ms),SEED,WHICH,UPON,FACE ~s,ALL,the~ LAND,and~ AT,ALL,the~ TREE,WHICH,in~ ~him,PRODUCE,TREE,SOW(Verb) ~ing(ms),SEED,to~ ~you(mp),he~ will~ EXIST(Verb),to~ FOOD
and~ to~ ALL,LIVING,the~ LAND,and~ to~ ALL,FLYER,the~ SKY ~s2,and~ to~ ALL,TREAD(Verb) ~ing(ms),UPON,the~ LAND,WHICH,in~ ~him,SOUL,LIVING,AT,ALL,GREEN,HERB,to~ FOOD,and~ he~ will~ EXIST(Verb),SO
and~ he~ will~ SEE(Verb),Elohiym,AT,ALL,WHICH,he~ did~ DO(Verb),and~ LOOK,FUNCTIONAL,MANY,and~ he~ will~ EXIST(Verb),EVENING,and~ he~ will~ EXIST(Verb),MORNING,DAY,the~ SIXTH
and~ they(m)~ will~ be~ FINISH(Verb),the~ SKY ~s2,and~ the~ LAND,and~ ALL,ARMY ~them(m)
and~ he~ will~ much~ FINISH(Verb),Elohiym,in~ the~ DAY,the~ SEVENTH,BUSINESS ~him,WHICH,he~ did~ DO(Verb),and~ he~ will~ CEASE(Verb),in~ the~ DAY,the~ SEVENTH,from~ ALL,BUSINESS ~him,WHICH,he~ did~ DO(Verb)
and~ he~ will~ much~ KNEEL(Verb),Elohiym,AT,DAY,the~ SEVENTH,and~ he~ will~ much~ SET.APART(Verb),AT ~him,GIVEN.THAT,in~ ~him,he~ did~ CEASE(Verb),from~ ALL,BUSINESS ~him,WHICH,he~ did~ SHAPE(Verb),Elohiym,to~ >~ DO(Verb)
THESE,BIRTHING ~s,the~ SKY ~s2,and~ the~ LAND,in~ >~ be~ SHAPE(Verb) ~them(m),in~ DAY,>~ DO(Verb),YHWH,Elohiym,LAND,and~ SKY ~s2
and~ ALL,SHRUB,the~ FIELD,BEFORE,he~ will~ EXIST(Verb),in~ the~ LAND,and~ ALL,HERB,the~ FIELD,BEFORE,he~ will~ SPRING.UP(Verb),GIVEN.THAT,NOT,he~ did~ make~ PRECIPITATE(Verb),YHWH,Elohiym,UPON,the~ LAND,and~ HUMAN,WITHOUT,to~ >~ SERVE(Verb),AT,the~ GROUND
and~ MIST,he~ will~ GO.UP(Verb),FROM,the~ LAND,and~ he~ did~ make~ DRINK(Verb),AT,ALL,FACE ~s,the~ GROUND
and~ he~ will~ MOLD(Verb),YHWH,Elohiym,AT,the~ HUMAN,DIRT,FROM,the~ GROUND,and~ he~ will~ EXHALE(Verb),in~ NOSE ~s2 ~him,BREATH,LIVING ~s,and~ he~ will~ EXIST(Verb),the~ HUMAN,to~ SOUL,LIVING
and~ he~ will~ PLANT(Verb),YHWH,Elohiym,GARDEN,in~ Eden,from~ EAST,and~ he~ will~ PLACE(Verb),THERE,AT,the~ HUMAN,WHICH,he~ did~ MOLD(Verb)
and~ he~ will~ make~ SPRING.UP(Verb),YHWH,Elohiym,FROM,the~ GROUND,ALL,TREE,12 be~ CRAVE(Verb) ~ing(ms),to~ APPEARANCE,and~ FUNCTIONAL,to~ NOURISHMENT,and~ TREE,the~ LIVING ~s,in~ MIDST,the~ GARDEN,and~ TREE,the~ DISCERNMENT,FUNCTIONAL,and~ DYSFUNCTIONAL
and~ RIVER,GO.OUT(Verb) ~ing(ms),from~ Eden,to~ >~ make~ DRINK(Verb),AT,the~ GARDEN,and~ from~ THERE,he~ will~ be~ DIVIDE.APART(Verb),and~ he~ did~ EXIST(Verb),to~ FOUR,HEAD ~s
TITLE,the~ UNIT,Pishon,HE,the~ GO.AROUND(Verb) ~ing(ms),AT,ALL,LAND,the~ Hhawilah,WHICH,THERE,the~ GOLD
and~ GOLD,the~ LAND,the~ SHE,FUNCTIONAL,THERE,the~ AMBER,and~ STONE,the~ ONYX
and~ TITLE,the~ RIVER,the~ SECOND,Giyhhon,HE,the~ GO.AROUND(Verb) ~ing(ms),AT,ALL,LAND,Kush
and~ TITLE,the~ RIVER,the~ THIRD,Hhideqel,HE,the~ WALK(Verb) ~ing(ms),EASTWARD,Ashur,and~ the~ RIVER,the~ FOURTH,HE,Perat
and~ he~ will~ TAKE(Verb),YHWH,Elohiym,AT,the~ HUMAN,and~ he~ will~ make~ DEPOSIT(Verb) ~him,in~ GARDEN,Eden,to~ >~ SERVE(Verb) ~her,and~ to~ >~ SAFEGUARD(Verb) ~her
and~ he~ will~ much~ DIRECT(Verb),YHWH,Elohiym,UPON,the~ HUMAN,to~ >~ SAY(Verb),from~ ALL,TREE,the~ GARDEN,>~ EAT(Verb),you(ms)~ will~ EAT(Verb)
and~ from~ TREE,the~ DISCERNMENT,FUNCTIONAL,and~ DYSFUNCTIONAL,NOT,you(ms)~ will~ EAT(Verb),FROM ~him,GIVEN.THAT,in~ DAY,you(ms)~ >~ EAT(Verb),FROM ~him,>~ DIE(Verb),you(ms)~ will~ DIE(Verb)
and~ he~ will~ SAY(Verb),YHWH,Elohiym,NOT,FUNCTIONAL,>~ EXIST(Verb),the~ HUMAN,to~ STRAND ~him,I~ will~ DO(Verb),to~ ~him,HELP,13 like~ OPPOSITE ~him
and~ he~ will~ MOLD(Verb),YHWH,Elohiym,FROM,the~ GROUND,ALL,LIVING,the~ FIELD,and~ AT,ALL,FLYER,the~ SKY ~s2,and~ he~ will~ make~ COME(Verb),TO,the~ HUMAN,to~ >~ SEE(Verb),WHAT,he~ will~ CALL.OUT(Verb),to~ ~him,and~ ALL,WHICH,he~ will~ CALL.OUT(Verb),to~ ~him,the~ HUMAN,SOUL,LIVING,HE,TITLE ~him
and~ he~ will~ CALL.OUT(Verb),the~ HUMAN,TITLE ~s,to~ ALL,the~ BEAST,and~ to~ FLYER,the~ SKY ~s2,and~ to~ ALL,LIVING,the~ FIELD,and~ to~ HUMAN,NOT,he~ did~ FIND(Verb),HELP,like~ OPPOSITE ~him
and~ he~ will~ make~ FALL(Verb),YHWH,Elohiym,TRANCE,UPON,the~ HUMAN,and~ he~ will~ SLEEP(Verb),and~ he~ will~ TAKE(Verb),UNIT,from~ RIB ~s ~him,and~ he~ will~ SHUT(Verb),FLESH,UNDER ~her
and~ he~ will~ BUILD(Verb),YHWH,Elohiym,AT,the~ RIB,WHICH,he~ did~ TAKE(Verb),FROM,the~ HUMAN,to~ WOMAN,and~ he~ will~ make~ COME(Verb) ~her,TO,the~ HUMAN
and~ he~ will~ SAY(Verb),the~ HUMAN,THIS,the~ FOOTSTEP,BONE,from~ BONE ~s ~me,and~ FLESH,from~ FLESH ~me,to~ THIS,he~ will~ be~ CALL.OUT(Verb),WOMAN,15 GIVEN.THAT,from~ MAN,be~ TAKE(Verb) ~ed(fs),16 THIS
UPON,SO,he~ will~ LEAVE(Verb),MAN,AT,FATHER ~him,and~ AT,MOTHER ~him,and~ he~ did~ ADHERE(Verb),in~ WOMAN ~him,and~ they~ did~ EXIST(Verb),to~ FLESH,UNIT
and~ they(m)~ will~ EXIST(Verb),TWO ~them(m),NUDE ~s,the~ HUMAN,and~ WOMAN ~him,and~ NOT,they(m)~ will~ self~ BE.ASHAMED(Verb)
and~ the~ SERPENT,he~ did~ EXIST(Verb),SUBTLE,from~ ALL,LIVING,the~ FIELD,WHICH,he~ did~ DO(Verb),YHWH,Elohiym,and~ he~ will~ SAY(Verb),TO,the~ WOMAN,MOREOVER,GIVEN.THAT,17 he~ did~ SAY(Verb),Elohiym,NOT,you(mp)~ will~ EAT(Verb),from~ ALL,TREE,the~ GARDEN
and~ she~ will~ SAY(Verb),the~ WOMAN,TO,the~ SERPENT,from~ PRODUCE,TREE,the~ GARDEN,we~ will~ EAT(Verb)
and~ from~ PRODUCE,the~ TREE,WHICH,in~ MIDST,the~ GARDEN,he~ did~ SAY(Verb),Elohiym,NOT,you(mp)~ will~ EAT(Verb),FROM ~him,and~ NOT,you(mp)~ will~ TOUCH(Verb),in~ ~him,OTHERWISE,you(mp)~ will~ DIE(Verb) ~must
and~ he~ will~ SAY(Verb),the~ SERPENT,TO,the~ WOMAN,NOT,>~ DIE(Verb),you(mp)~ will~ DIE(Verb) ~must
GIVEN.THAT,KNOW(Verb) ~ing(ms),Elohiym,GIVEN.THAT,in~ DAY,>~ EAT(Verb) ~you(mp),FROM ~him,and~ they(f)~ did~ be~ OPEN.UP(Verb),EYE ~s2 ~you(mp),and~ you(mp)~ did~ EXIST(Verb),like~ Elohiym,KNOW(Verb) ~ing(mp),FUNCTIONAL,and~ DYSFUNCTIONAL
and~ she~ will~ SEE(Verb),the~ WOMAN,GIVEN.THAT,FUNCTIONAL,the~ TREE,to~ NOURISHMENT,and~ GIVEN.THAT,YEARNING,HE,to~ the~ EYE ~s2,and~ be~ CRAVE(Verb) ~ing(ms),the~ TREE,to~ >~ make~ CALCULATE(Verb),and~ she~ will~ TAKE(Verb),from~ PRODUCE ~him,and~ she~ will~ EAT(Verb),and~ she~ will~ GIVE(Verb),ALSO,to~ MAN ~her,WITH ~her,and~ he~ will~ EAT(Verb)
and~ they(f)~ will~ be~ OPEN.UP(Verb),EYE ~s2,TWO ~them(m),and~ they(m)~ will~ KNOW(Verb),GIVEN.THAT,NAKED ~s,THEY(m),and~ they(m)~ will~ SEW.TOGETHER(Verb),LEAF,FIG,and~ they(m)~ will~ DO(Verb),to~ ~them(m),LOIN.WRAP ~s
and~ they(m)~ will~ HEAR(Verb),AT,VOICE,18 YHWH,Elohiym,self~ WALK(Verb) ~ing(ms),in~ GARDEN,to~ WIND,the~ DAY,and~ he~ will~ self~ WITHDRAW(Verb),the~ HUMAN,and~ WOMAN ~him,from~ FACE ~s,YHWH,Elohiym,in~ MIDST,TREE,the~ GARDEN
and~ he~ will~ CALL.OUT(Verb),YHWH,Elohiym,TO,the~ HUMAN,and~ he~ will~ SAY(Verb),to~ ~him,WHERE ~you(ms)
and~ he~ will~ SAY(Verb),AT,VOICE ~you(ms),I~ did~ HEAR(Verb),in~ GARDEN,and~ I~ will~ FEAR(Verb),GIVEN.THAT,NAKED,I,and~ I~ will~ WITHDRAW(Verb)
and~ he~ will~ SAY(Verb),WHO,he~ did~ make~ BE.FACE.TO.FACE(Verb),to~ ~you(ms),GIVEN.THAT,NAKED,YOU(MS),?~ FROM,the~ TREE,WHICH,I~ did~ much~ DIRECT(Verb) ~you(ms),to~ EXCEPT,>~ EAT(Verb),FROM ~him,you(ms)~ will~ EAT(Verb)
and~ he~ will~ SAY(Verb),the~ HUMAN,the~ WOMAN,WHICH,you(ms)~ did~ GIVE(Verb),BY ~me,SHE,she~ did~ GIVE(Verb),to~ ~me,FROM,the~ TREE,and~ I~ will~ EAT(Verb)
and~ he~ will~ SAY(Verb),YHWH,Elohiym,to~ WOMAN,WHAT,THIS,you(fs)~ did~ DO(Verb),and~ she~ will~ SAY(Verb),the~ WOMAN,the~ SERPENT,he~ did~ make~ DECEIVE(Verb) ~me,and~ I~ will~ EAT(Verb)
and~ he~ will~ SAY(Verb),YHWH,Elohiym,TO,the~ SERPENT,GIVEN.THAT,you(ms)~ did~ DO(Verb),THIS,SPIT.UPON(Verb) ~ed(ms),19 YOU(MS),from~ ALL,the~ BEAST,and~ from~ ALL,LIVING,the~ FIELD,UPON,BELLY ~you(ms),you(ms)~ will~ WALK(Verb),and~ DIRT,you(ms)~ will~ EAT(Verb),ALL,DAY ~s,LIVING ~s ~you(ms)
and~ HOSTILITY,I~ will~ SET.DOWN(Verb),BETWEEN ~you(ms),and~ BETWEEN,the~ WOMAN,and~ BETWEEN,SEED ~you(ms),and~ BETWEEN,SEED ~her,HE,he~ will~ FALL.UPON(Verb) ~you(ms),HEAD,20 and~ YOU(MS),you(ms)~ will~ FALL.UPON(Verb) ~him,HEEL
TO,the~ WOMAN,he~ did~ SAY(Verb),>~ make~ INCREASE(Verb),I~ will~ make~ INCREASE(Verb),HARDSHIP ~you(fs),and~ PREGNANCY ~you(fs),in~ DISTRESSING.PAIN,you(fs)~ will~ BRING.FORTH(Verb),SON ~s,22 and~ TO,MAN ~you(fs),FOLLOWING ~you(fs),and~ HE,he~ will~ REGULATE(Verb),in~ ~you(fs)
and~ to~ HUMAN,he~ did~ SAY(Verb),GIVEN.THAT,you(ms)~ did~ HEAR(Verb),23 to~ VOICE,WOMAN ~you(ms),and~ you(ms)~ will~ EAT(Verb),FROM,the~ TREE,WHICH,I~ did~ much~ DIRECT(Verb) ~you(ms),to~ >~ SAY(Verb),NOT,you(ms)~ will~ EAT(Verb),FROM ~him,SPIT.UPON(Verb) ~ed(ms),24 the~ GROUND,in~ the~ CROSS.OVER(Verb) ~ed(ms) ~you(ms),in~ HARDSHIP ~you(ms),you(ms)~ will~ EAT(Verb) ~her,ALL,DAY ~s,LIVING ~s ~you(ms)
and~ BRAMBLE,and~ THISTLE,she~ will~ make~ SPRING.UP(Verb),to~ ~you(fs),and~ you(ms)~ did~ EAT(Verb),AT,HERB,the~ FIELD
in~ SWEAT,NOSE ~s ~you(ms),you(ms)~ will~ EAT(Verb),BREAD,UNTIL,>~ TURN.BACK(Verb) ~you(ms),TO,the~ GROUND,GIVEN.THAT,FROM ~her,you(ms)~ did~ be~ TAKE(Verb),GIVEN.THAT,DIRT,YOU(MS),and~ TO,DIRT,you(ms)~ will~ TURN.BACK(Verb)
and~ he~ will~ CALL.OUT(Verb),the~ HUMAN,TITLE,WOMAN ~him,Hhawah,GIVEN.THAT,SHE,she~ did~ EXIST(Verb),25 MOTHER,ALL,LIVING
and~ he~ will~ DO(Verb),YHWH,Elohiym,to~ HUMAN,and~ to~ WOMAN ~him,TUNIC ~s,SKIN,and~ he~ will~ make~ WEAR(Verb) ~them(m)
and~ he~ will~ SAY(Verb),YHWH,Elohiym,THOUGH,the~ HUMAN,he~ did~ EXIST(Verb),like~ UNIT,FROM ~us,26 to~ >~ KNOW(Verb),FUNCTIONAL,and~ DYSFUNCTIONAL,and~ NOW,OTHERWISE,he~ will~ SEND(Verb),HAND ~him,and~ he~ did~ TAKE(Verb),ALSO,from~ TREE,the~ LIVING ~s,and~ he~ did~ EAT(Verb),and~ he~ did~ LIVE(Verb),to~ DISTANT
and~ he~ will~ SEND(Verb) ~him,YHWH,Elohiym,from~ GARDEN,Eden,to~ >~ SERVE(Verb),AT,the~ GROUND,WHICH,he~ did~ be~ TAKE(Verb),from~ THERE
and~ he~ will~ much~ CAST.OUT(Verb),AT,the~ HUMAN,and~ he~ will~ DWELL(Verb),from~ EAST,to~ GARDEN,Eden,AT,the~ KERUV ~s,and~ AT,BLAZING,the~ SWORD,the~ self~ OVERTURN(Verb) ~ing(fs),to~ >~ SAFEGUARD(Verb),AT,ROAD,TREE,the~ LIVING ~s
and~ the~ HUMAN,he~ did~ KNOW(Verb),AT,Hhawah,WOMAN ~him,and~ she~ will~ CONCEIVE(Verb),and~ she~ will~ BRING.FORTH(Verb),AT,27 Qayin,and~ she~ will~ SAY(Verb),I~ did~ PURCHASE(Verb),MAN,AT,YHWH
and~ she~ will~ make~ ADD(Verb),to~ >~ BRING.FORTH(Verb),AT,BROTHER ~him,AT,Hevel,and~ he~ will~ EXIST(Verb),Hevel,FEED(Verb) ~ing(ms),FLOCKS,and~ Qayin,he~ did~ EXIST(Verb),SERVE(Verb) ~ing(ms),GROUND
and~ he~ will~ EXIST(Verb),from~ CONCLUSION,28 DAY ~s,and~ he~ will~ make~ COME(Verb),Qayin,from~ PRODUCE,the~ GROUND,DEPOSIT,to~ YHWH
and~ Hevel,he~ did~ make~ COME(Verb),ALSO,HE,from~ FIRSTBORN.FEMALE ~s,FLOCKS ~him,and~ from~ FAT ~them(f),and~ he~ will~ LOOK.WITH.RESPECT(Verb),YHWH,TO,Hevel,and~ TO,DEPOSIT ~him
and~ TO,Qayin,and~ TO,DEPOSIT ~him,NOT,he~ did~ LOOK.WITH.RESPECT(Verb),and~ he~ will~ FLARE.UP(Verb),29 to~ Qayin,MANY,and~ they(m)~ will~ FALL(Verb),FACE ~s ~him
and~ he~ will~ SAY(Verb),YHWH,TO,Qayin,to~ WHAT,he~ did~ FLARE.UP(Verb),to~ ~you(fs),and~ to~ WHAT,they~ did~ FALL(Verb),FACE ~s ~you(ms)
?~ NOT,IF,you(ms)~ will~ make~ DO.WELL(Verb),>~ LIFT.UP(Verb),and~ IF,NOT,you(ms)~ will~ make~ DO.WELL(Verb),to~ OPENING,FAILURE,STRETCH.OUT(Verb) ~ing(ms),and~ TO ~you(ms),FOLLOWING ~him,31 and~ YOU(MS),you(ms)~ will~ REGULATE(Verb),in~ ~him
and~ he~ will~ SAY(Verb),32 Qayin,TO,Hevel,BROTHER ~him,and~ he~ will~ EXIST(Verb),in~ >~ EXIST(Verb) ~them(m),in~ the~ FIELD,and~ he~ will~ RISE(Verb),Qayin,TO,Hevel,BROTHER ~him,and~ he~ will~ KILL(Verb) ~him
and~ he~ will~ SAY(Verb),YHWH,TO,Qayin,WHERE,Hevel,BROTHER ~you(ms),and~ he~ will~ SAY(Verb),NOT,I~ did~ KNOW(Verb),?~ SAFEGUARD(Verb) ~ing(ms),BROTHER ~me,I
and~ he~ will~ SAY(Verb),WHAT,you(ms)~ did~ DO(Verb),VOICE,BLOOD ~s,BROTHER ~you(ms),CRY.OUT(Verb) ~ing(mp),TO ~me,FROM,the~ GROUND
and~ NOW,SPIT.UPON(Verb) ~ed(ms),33 YOU(MS),FROM,the~ GROUND,WHICH,she~ did~ PART(Verb),AT,MOUTH ~her,to~ >~ TAKE(Verb),AT,BLOOD ~s,BROTHER ~you(ms),from~ HAND ~you(ms)
GIVEN.THAT,you(ms)~ will~ SERVE(Verb),AT,the~ GROUND,NOT,she~ will~ make~ ADD(Verb),>~ GIVE(Verb),STRENGTH ~her,to~ ~you(fs),STAGGER(Verb) ~ing(ms),and~ NOD(Verb) ~ing(ms),34 you(ms)~ will~ EXIST(Verb),in~ the~ LAND
and~ he~ will~ SAY(Verb),Qayin,TO,YHWH,GREAT,TWISTEDNESS ~me,
THOUGH,you(ms)~ did~ much~ CAST.OUT(Verb),AT ~me,the~ DAY,from~ UPON,FACE ~s,the~ GROUND,and~ from~ FACE ~s ~you(ms),I~ will~ be~ HIDE(Verb),and~ I~ did~ EXIST(Verb),STAGGER(Verb) ~ing(ms),and~ NOD(Verb) ~ing(ms),in~ the~ LAND,and~ he~ did~ EXIST(Verb),ALL,FIND(Verb) ~ing(ms) ~me,he~ will~ KILL(Verb) ~me
and~ he~ will~ SAY(Verb),to~ ~him,YHWH,to~ SO,ALL,KILL(Verb) ~ing(ms),Qayin,SEVENTH.TIME ~s2,he~ will~ be~ make~ AVENGE(Verb),and~ he~ will~ PLACE(Verb),YHWH,to~ Qayin,SIGN,to~ EXCEPT,>~ make~ HIT(Verb),AT ~him,ALL,FIND(Verb) ~ing(ms) ~him
and~ he~ will~ GO.OUT(Verb),Qayin,from~ to~ FACE ~s,YHWH,and~ he~ will~ SETTLE(Verb),in~ LAND,Nod,EASTWARD,Eden
and~ he~ will~ KNOW(Verb),Qayin,AT,WOMAN ~him,and~ she~ will~ CONCEIVE(Verb),and~ she~ will~ BRING.FORTH(Verb),AT,Hhanokh,and~ he~ will~ EXIST(Verb),BUILD(Verb) ~ing(ms),CITY,35 and~ he~ will~ CALL.OUT(Verb),TITLE,the~ CITY,like~ TITLE,SON ~him,Hhanokh
and~ he~ will~ be~ BRING.FORTH(Verb),to~ Hhanokh,AT,Irad,and~ Irad,he~ did~ BRING.FORTH(Verb),AT,Mehhuya'el,and~ Mehhuya'el,he~ did~ BRING.FORTH(Verb),AT,Metusha'el,and~ Metusha'el,he~ did~ BRING.FORTH(Verb),AT,Lamekh
and~ he~ will~ TAKE(Verb),to~ ~him,Lamekh,TWO,WOMAN ~s,TITLE,the~ UNIT,Adah,and~ TITLE,the~ SECOND,Tsilah
and~ she~ will~ BRING.FORTH(Verb),Adah,AT,Yaval,HE,he~ did~ EXIST(Verb),FATHER ~of,36 SETTLE(Verb) ~ing(ms),TENT,and~ LIVESTOCK
and~ TITLE,BROTHER ~him,Yuval,HE,he~ did~ EXIST(Verb),FATHER ~of,ALL,SEIZE.HOLD(Verb) ~ing(ms),38 HARP,and~ REED.PIPE
